Crime Head,2017,2018,2019
Counterfeiting,1171,1266,1040
Counterfeit Coin,9,8,20
Counterfeiting Government Stamp,1,7,7
Counterfeiting of Seal or Mark,17,18,3
Counterfeit Currency & Bank notes,1144,1233,1010
"Forgery, Cheating & Fraud",127430,134546,143909
Fraud,20882,21305,23383
Bank,1783,2152,2271
ATMs,3472,3028,3692
Credit Card/Debit Card,1543,1674,1822
Other Frauds,14084,14451,15598
Other Cheating,89234,96652,104332
Other Forgery,17314,16589,16194
